tool,type,contract,tp,fp,fn,time_s,memory_mb,timed_out,found_detectors,note 
mythril,T1_Reentrancy,etherstore.sol,1,0,0,59.45,1245.2,FALSE,SWC-101;SWC-116;SWC-107,
mythril,T1_Reentrancy,modifier_reentrancy.sol,1,0,0,41.82,1080.5,FALSE,SWC-107,
mythril,T1_Reentrancy,reentrancy_cross_function.sol,1,0,0,28.54,890.1,FALSE,SWC-107;SWC-114,
mythril,T1_Reentrancy,reentrancy_dao.sol,1,0,0,27.14,875.4,FALSE,SWC-107;SWC-114,
mythril,T1_Reentrancy,reentrancy_insecure.sol,1,0,0,17.81,650.3,FALSE,SWC-107;SWC-114,
mythril,T2_Arithmetic,BECToken.sol,0,0,1,N/A,7168,TRUE,,Path Explosion
mythril,T2_Arithmetic,integer_overflow_1.sol,1,0,0,9.42,580.2,FALSE,Integer Arithmetic Bugs,
mythril,T2_Arithmetic,integer_overflow_mul.sol,1,0,0,8.28,575.6,FALSE,Integer Arithmetic Bugs,
mythril,T2_Arithmetic,integer_overflow_multitx_multifunc_feasible.sol,1,0,0,10.25,610.9,FALSE,Integer Arithmetic Bugs,
mythril,T2_Arithmetic,overflow_single_tx.sol,1,0,0,79.52,1850.4,FALSE,Integer Arithmetic Bugs,
mythril,T3_AccessControl,parity_wallet_bug_1.sol,N/A,N/A,N/A,128.06,4096,TRUE,,Solc version mismatch error
mythril,T3_AccessControl,parity_wallet_bug_2.sol,1,0,0,94.49,2240.7,FALSE,Integer Arithmetic Bugs;Exception State,
mythril,T3_AccessControl,phishable.sol,1,0,0,30.36,920.4,FALSE,Dependence on tx.origin;Transaction Order Dependence;Unprotected Ether Withdrawal,
mythril,T3_AccessControl,rubixi.sol,0,0,1,48.24,1150.2,FALSE,Exception State,
mythril,T3_AccessControl,unprotected0.sol,0,0,1,7.43,520.1,FALSE,,No detector found
mythril,T4_UncheckedCalls,etherpot_lotto.sol,0,4,1,64.36,1580.3,FALSE,swc-120; swc-110; swc-101,No SWC-104 found
mythril,T4_UncheckedCalls,king_of_the_ether_throne.sol,1,2,0,142.18,3450.6,FALSE,swc-104; swc-101; swc-116,Successfully caught
mythril,T4_UncheckedCalls,lotto.sol,1,1,0,18.61,690.4,FALSE,swc-104; swc-120,Successfully caught
mythril,T4_UncheckedCalls,mishandled.sol,1,0,0,17.49,685.2,FALSE,swc-104,Clean detection
mythril,T4_UncheckedCalls,unchecked_return_value.sol,1,0,0,21.62,740.8,FALSE,swc-104,Clean detection
mythril,T5_OracleManipulation,CompoundUni_exp.sol,N/A,N/A,N/A,N/A,310.5,TRUE,,Import Fail
mythril,T5_OracleManipulation,ImpermaxV3_exp.sol,N/A,N/A,N/A,N/A,315.2,TRUE,,Import Fail
mythril,T5_OracleManipulation,Makina_exp.sol,N/A,N/A,N/A,N/A,308.7,TRUE,,Import Fail
mythril,T5_OracleManipulation,Moonwell_exp.sol,N/A,N/A,N/A,N/A,312.4,TRUE,,Import Fail
mythril,T5_OracleManipulation,UwuLend_First_exp.sol,N/A,N/A,N/A,N/A,311,TRUE,,Import Fail
mythril,T6_BusinessLogic,AlkemiEarn_exp.sol,N/A,N/A,N/A,N/A,280.5,TRUE,,Import Fail
mythril,T6_BusinessLogic,LAXO_Token_exp.sol,N/A,N/A,N/A,N/A,295.6,TRUE,,Import Fail
mythril,T6_BusinessLogic,SynapLogic_exp.sol,N/A,N/A,N/A,N/A,275.4,TRUE,,Import Fail
mythril,T6_BusinessLogic,SharwaFinance_exp.sol,N/A,N/A,N/A,N/A,305.2,TRUE,,Import Fail
